CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
90643674,2018,20180119,9680,20180111,1750,019910,Baron,4,9,3700,2,4,WILDCAT CANYON RD,FOUNDERS WAY,660,N,N
90650439,2018,20180129,9825,20180121,0100,020125,Bisho,7,9,1400,2,4,BROCKMAN LN,W LINE ST.,100,N,N
90651060,2018,20180130,9825,20180126,0805,018960,Bisho,5,2,1401,2,4,PA HA LANE,US-395,239,S,N
90651064,2018,20180130,9825,20180119,1020,019814,Bisho,5,9,1400,2,4,TU SU LN,US-395,6,S,N
90660825,2018,20180213,9680,20180203,0115,019555,Vieja,6,9,3700,3,5,VIEJAS GRADE RD,MOUNTAIN VIEW CT,225,N,N
90681436,2018,20180313,9680,20180303,1430,021772,Baron,6,9,3700,2,4,WILDCAT CANYON RD,DUMP RD,20,W,N
90683011,2018,20180315,9630,20180306,0038,021604,29 Pa,2,9,3300,2,S,HARRISON PL,DILLON RD,516,N,N
90683928,2018,20180316,9680,20180307,1800,018979,Baron,3,9,3700,2,4,WILDCAT CANYON RD,BARONA RD,343,N,N
90685070,2018,20180319,9680,20180311,0315,020249,Baron,7,9,3700,2,4,WILDCAT CANYON ROAD,FOUNDERS WAY,1400,N,N
90685888,2018,20180320,9680,20180311,2245,020884,Baron,7,9,3700,2,4,WILDCAT CANYON RD,FOUNDERS WAY,1426,N,N
90718532,2018,20180502,9126,20180422,1430,014469,T113,7,9,2300,3,5,REFUSE ROAD,CRAWFORD RD.,2112,N,N
90719743,2018,20180504,9680,20180428,2500,014676,Vieja,6,9,3700,3,5,VIEJAS GRADE RD,W. WILLOWS RD.,5280,N,N
90723262,2018,20180509,9825,20180428,1615,018960,Bento,6,9,2600,3,5,UTU UTU LANE,YELLOW JACKET RD.,207,S,N
90723926,2018,20180510,9680,20180502,1400,021944,Baron,3,9,3700,2,4,WILDCAT CANYON RD,FOUNDERS WAY,3168,S,N
90724840,2018,20180511,9680,20180502,1439,021996,Baron,3,9,3700,2,4,WILDCAT CANYON RD,DUMP RD,48,N,N
90727806,2018,20180516,9150,20180430,2250,021958,Coyot,1,9,2300,2,4,60 COYOTE VALLEY BLVD,COYOTE VALLEY BLVD,117,N,N
90729502,2018,20180518,9680,20180512,0725,016181,Baron,6,9,3700,2,4,WILDCAT CANYON RD,FOUNDERS WAY,1056,N,N
90729554,2018,20180518,9680,20180512,0726,016181,Baron,6,9,3700,2,4,WILDCAT CANYON RD,FOUNDERS WAY,4224,N,N
90771298,2018,20180917,9126,20180705,0230,021838,Round,4,9,2300,1,3,SR-162,EAST LANE,1954,E,N
90781550,2018,20180731,9620,20180729,1913,020738,Quech,7,9,1300,3,5,ROSS ROAD,PICACHO RD,154,E,N
90797712,2018,20180829,9151,20180812,1435,020354,Robin,7,9,1700,1,3,SR-20,RECLAMATION CUTOFF,479,W,N
90801556,2018,20180830,9680,20180820,1223,017460,Campo,1,9,3700,2,4,OLD HIGHWAY 80,BIA 10 / CHURCH ROAD,1056,E,N
90808221,2018,20180907,9630,20180902,2500,021604,29 Pa,7,3,3305,2,S,84245 INDIO SPRINGS RD,GOLF CENTER PKY,2640,E,N
90816866,2018,20180919,9680,20180909,1622,021944,Baron,7,9,3700,2,4,WILDCAT CANYON RD,FOUNDERS WAY,196,S,N
90206306,2016,20160621,9320,20160621,0800,016970,9320,2,6,0704,1,3,SR-4 W/B,PORT CHICAGO HIGHWAY,210,E,N
90206430,2016,20160621,9365,20160608,0850,013540,9365,3,3,4802,1,1,I-80 W/B,PITT SCHOOL RD,100,E,N
90206513,2016,20160621,9535,20160615,1408,013989,9535,3,5,1947,1,3,SR-60 (POMONA FREEWAY) E/B,PARAMOUNT BLVD,1500,E,N
90206716,2016,20160621,9535,20160614,1435,013989,9535,2,9,1900,1,3,SR-60 (POMONA FREEWAY) E/B,WOODS AVE,500,W,N
90206814,2016,20160622,9330,20160530,1205,021265,Redwo,1,9,4100,1,3,SR-35 SOUTHBOUND,CRAZY PETE'S RD,22,N,N
90207005,2016,20160622,9220,20160619,1105,012546,9220,7,5,3105,1,3,STATE ROUTE 65,STANFORD RANCH RD,3168,S,N
90207014,2016,20160622,9360,20160614,0750,011932,9360,2,9,4900,1,2,US-101 N/B,TODD RD O/C,170,N,N
90207212,2016,20160622,9360,20160615,0930,011932,9360,3,9,4900,3,5,WILFRED AVE,SUNLAND AVE,846,W,N
