CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
9087571,2019,20200509,0710,20191226,1230,1662,SOUTH,4,5,0710,0,0,8TH ST,OHIO AV,0,S,N
9087575,2019,20200509,0710,20191222,0457,1741,SOUTH,7,5,0710,0,0,HARBOUR WY S,CUTTING BL,0,N,N
9087578,2019,20200509,0710,20191220,0619,1711,NORTH,5,5,0710,0,0,SAN PABLO AV,RICHMOND PKWY,0,W,N
9087581,2020,20200821,3000,20200215,0542,8832,821H1,6,4,3045,0,0,LOS ALISOS BL,AVD DE LA CARLOTA,0,E,N
9087582,2020,20200825,3000,20200211,1538,4246,972F7,2,5,3017,0,0,CALLE VALLARTA,AVENIDA VAQUERO,0,E,N
9087586,2020,20200724,0701,20200203,0629,6139,408,1,5,0701,0,0,FITZUREN RD,G ST,0,S,N
9087592,2020,20200724,0701,20200223,1105,5949,612,7,5,0701,0,0,CANADA VALLEY RD,PINNACLE VIEW WY,0,W,N
9087595,2020,20200724,1901,20200210,1343,654,14,1,5,1901,0,0,MONTEREY ST,VALLEY BL,0,S,N
9087599,2020,20200724,1942,20200225,1100,38503,0328,2,7,1942,0,0,HOOVER ST,32ND ST,0,N,N
9087600,2020,20200724,1942,20200204,0745,38503,0399,2,7,1942,0,0,VERNON AV,FLOWER ST,0,S,N
9087603,2020,20201015,1942,20200304,0205,35291,0142,3,7,1942,0,0,W 4TH ST,S FIGUEROA ST,0,W,N
9087610,2020,20201009,3308,20200301,1608,10702,517,7,5,3308,0,0,SANTA FE ST,FLORIDA AV,0,S,N
9087611,2020,20200717,1942,20200329,2000,33757,0702,7,7,1942,0,0,MELROSE AV,VISTA AV,0,W,N
9087613,2020,20201006,3308,20200314,0726,10597,518,6,5,3308,0,0,FLORIDA AV,CORNELL ST,0,W,N
9087615,2020,20201013,3308,20200317,1300,10702,515,2,5,3308,0,0,FLORIDA AV,KIRBY ST,0,E,N
9087619,2020,20201013,3308,20200307,1955,10686,529,6,5,3308,0,0,FLORIDA AV,HEMET ST,0,W,N
9087620,2020,20201008,1972,20200302,0738,18059,3,1,6,1972,0,0,HAWTHORNE,CARSON,0,S,N
9087621,2020,20200918,1506,20200306,1230,9229,21,5,4,1506,0,0,NORTH CHINA LAKE BL,HOWELL AV,0,W,N
9087627,2020,20200717,1942,20200315,2010,39062,0427,7,7,1942,0,0,PAOLA AV,HUNTINGTON DR S,0,S,N
9087628,2020,20200925,0404,20200304,1545,703,E,3,3,0404,0,0,OLIVE HWY,MEDICAL CENTER DR,0,W,N
9087629,2020,20200904,1203,20200318,1221,4109,P19,3,4,1203,0,0,4TH ST,R ST,0,E,N
9087630,2020,20200717,1942,20200328,1905,34426,0211,6,7,1942,0,0,VERMONT AV,CLINTON ST,0,S,N
9087635,2020,20200904,4316,20200315,1650,18656,12,7,6,4316,0,0,FAIR OAKS AV,RT 101,0,N,N
9087639,2020,20200929,1942,20200303,0700,38050,0438,2,7,1942,0,0,VALLEY BL,HIGHBURY AV,0,E,N
9087642,2020,20200716,0701,20200227,1725,5319,209,4,5,0701,0,0,OAKLEY RD,WILLOW AV,0,W,N
9087643,2020,20200918,3308,20200115,1737,10620,525,3,5,3308,0,0,FLORIDA AV,SANDERSON AV,0,E,N
9087645,2020,20200716,1948,20200221,1621,462,1948,5,5,1948,0,0,MONTEREY PASS RD,FREMONT AV S,0,N,N
9087646,2020,20200716,1500,20200227,1243,201083,WA-02,4,3,1510,0,0,F ST,16TH ST,0,S,N
9087656,2020,20200817,4502,20200101,1333,R526,R06,3,5,4502,0,0,SHASTA ST,LIBERTY ST,0,W,N
9087658,2020,20200916,4200,20200203,1313,4608,14,1,4,4214,0,0,FAIRVIEW AV,CALLE REAL,0,S,N
9087662,2019,20200703,4502,20191225,1710,R0026,R01,3,5,4502,0,0,HILLTOP BL,LAKE BL,0,S,N
9087663,2019,20200925,4502,20191212,0327,JAEGEL14,R04,4,5,4502,0,0,RT 273,CLEAR CREEK,0,N,N
9087664,2020,20201005,5002,20200331,1405,11621,609,2,6,5002,0,0,N MCCLURE RD,RT 132,0,N,N
9087668,2020,20200717,5002,20200330,0625,11697,M257,1,6,5002,0,0,RT 108,HINTZE AV,0,N,N
9087669,2019,20200819,5501,20191104,0812,JB2,5501,1,2,5501,0,0,N WASHINGTON ST,DODGE ST,0,N,N
9087673,2020,20200922,3308,20200124,0206,10550,516,5,5,3308,0,0,FLORIDA AV,LYON AV,0,E,N
9087674,2019,20200728,4502,20191210,0535,JAEGEL14,R04,2,5,4502,0,0,PARKVIEW AV,FREEBRIDGE ST,0,E,N
9087677,2019,20200911,3308,20191111,1206,10743,515,1,5,3308,0,0,FLORIDA AV,KIRBY ST,0,E,N
9087678,2019,20200728,4127,20191008,2218,2242,4127,2,4,4127,0,0,AZALIA DR,OCONNOR,0,W,N
9087679,2019,20200925,4502,20191213,1114,R539,R04,5,5,4502,0,0,RT 273,WESTWOOD AV,0,E,N
9087694,2020,20200724,0701,20200301,1611,5537,402,7,5,0701,0,0,SOMERSVILLE RD,JAMES DONLON BL,0,N,N
9087696,2020,20200717,0701,20200310,2012,5537,202,2,5,0701,0,0,D ST,W 18TH ST,0,N,N
9087698,2020,20200717,0109,20200309,2011,9168,2,1,7,0109,0,0,INTERNATIONAL BL,41ST AV,0,S,N
9087700,2020,20200717,0109,20200301,1836,9259,2,7,7,0109,0,0,75TH AV,HAWLEY ST,0,N,N
9087701,2020,20200714,3300,20200316,1230,N1673,36R3,1,4,3318,0,0,MONTEREY AV,FRED WARING DR,0,N,N
9087722,2020,20200619,1900,20200330,2131,629461,1127,1,6,1992,0,0,AV J,30TH ST WEST,0,E,N
9087728,2020,20200619,1934,20200310,0324,793,1934,2,1,1934,0,0,LONGDEN AV,LIVE OAK AV,0,E,Y
9087730,2020,20200619,1942,20200314,0140,43386,2187,6,7,1942,0,0,VENTURA BL,DON PIO DR,0,E,N
9087731,2020,20200619,1942,20200317,1120,44114,2107,2,7,1942,0,0,ROSCOE BL,DE SOTO,0,W,N
9087734,2020,20201009,4302,20200305,1721,117,PATRO,4,4,4302,0,0,SOUTH WINCHESTER BL,HAMILTON AV,0,S,N
9087735,2020,20200619,3000,20200324,1947,8880,992F3,2,5,3017,0,0,NORTH EL CAMINO REAL,CAMINO SAN CLEMENTE,0,N,N
9087736,2020,20200619,3000,20200325,1610,9573,891H4,3,5,3050,0,0,JERONIMO RD,GREENBAY DR,0,N,N
9087737,2020,20200619,3000,20200314,1330,4267,892H5,6,4,3048,0,0,VISTA DEL POTRERO,BANDERAS,0,S,N
9087739,2020,20200706,1900,20200321,1358,651177,1014,6,3,1995,0,0,PCH,CORRAL CANYON RD,0,E,N
9087741,2020,20200617,4001,20200216,1911,P0143,463,7,3,4001,0,0,EL CAMINO REAL,ROBLES ST,0,W,N
9087742,2020,20200617,4001,20200210,1104,P0144,461,1,3,4001,0,0,FAIR OAKS AV,WOODLAND DR,0,E,N
9087743,2020,20200617,1901,20200204,1956,108,21,2,5,1901,0,0,MIDWICKHILL DR,HAGEN DR,0,W,N
9087744,2020,20200617,1901,20200214,1903,199,02,5,5,1901,0,0,ATLANTIC BL,2ND ST,0,S,N
9087747,2020,20200612,1901,20200223,1105,203,2,7,5,1901,0,0,MAIN ST,2ND ST,0,E,N
9087748,2020,20200617,1901,20200216,0908,204,28,7,5,1901,0,0,OLIVE AV,MAIN ST,0,S,N
9087750,2020,20200617,1901,20200222,1831,216,16,6,5,1901,0,0,VALLEY BL,FREMONT AV,0,N,N
9087752,2020,20200820,1901,20200211,0645,239,15,2,5,1901,0,0,VIOLETA DR,GRANADA AV,0,E,N
9087756,2020,20201009,1901,20200228,0749,287,17,5,5,1901,0,0,FRONT ST,FREMONT AV,0,E,N
9087759,2020,20200617,1901,20200215,2000,295,4,6,5,1901,0,0,CORDOVA CT,MAIN ST,0,N,N
9087760,2020,20200617,1901,20200221,0908,295,29,5,5,1901,0,0,MISSION RD,FREMONT AV,0,W,N
9087767,2020,20200908,3015,20200517,0125,1503,65E,7,6,3015,0,0,LINCOLN ST,LOCUST AV,0,N,N
9087769,2020,20200827,1900,20200504,1355,533418,2313,1,5,1919,0,0,BERTHA ST,FAGAN WY,0,W,N
9087775,2020,20200908,3015,20200525,0807,1507,RD137,1,6,3015,0,0,SERRANO AV,KENDRA LOOP,0,W,N
9087777,2020,20200820,1925,20200521,1358,21995,243,4,6,1925,0,0,MAPLE ST,CHEVY CHASE DR,0,W,N
9087778,2020,20200820,1900,20200521,1708,629461,1123,4,6,1992,0,0,AVENUE J-12,10TH ST WEST,0,W,N
9087780,2020,20200709,1942,20200501,1330,39022,0898,5,7,1942,0,0,DAVID AV,S HALM AV,0,W,N
9087783,2020,20200908,3015,20200521,0932,1098,35E,4,6,3015,0,0,LEMON ST,COLLINS AV,0,N,N
9087784,2020,20200818,3600,20200409,1038,E3926,RC031,4,6,3616,0,0,HAVEN AV,FOOTHILL BL,0,S,N
9087790,2020,20200820,1900,20200501,0458,624934,1132,5,6,1992,0,0,FOXTON AV,LINGARD ST,0,W,N
9087794,2020,20200820,1900,20200515,2150,510418,1139,5,6,1992,0,0,AVENUE K,60TH ST WEST,0,E,N
9087797,2020,20200901,3300,20200515,1325,N6426,910Q,5,5,3335,0,0,PECHANGA PKWY,TEMECULA PKWY,0,S,N
9087802,2020,20200731,1900,20200416,1431,624625,1122,4,6,1992,0,0,AVE J,FERN AV,0,W,N
9087805,2020,20200901,3300,20200514,2339,5477,Y80,4,3,3392,0,0,ROSAL AV,TULIPAN AV,0,E,N
9087808,2020,20200824,1942,20200510,1040,42618,0889,7,7,1942,0,0,SAWYER ST,S LA CIENEGA BL,0,E,N
9087811,2020,20200819,340H,20200520,1302,10103,5105,3,5,3450,0,0,ELK GROVE BL,EMERALD OAK DR,0,E,N
9087818,2020,20200810,1900,20200424,1200,455303,1516,5,5,1954,0,0,INDUSTRY AV,WARVALE ST,0,N,N
9087819,2020,20200818,340H,20200522,1845,10722,4301,5,5,3450,0,0,HITE CIR,WARMERDAM CT,0,N,N
9087821,2020,20200908,5703,20200521,2137,2059,64,4,4,5703,0,0,W BEAMER ST,COTTONWOOD ST,0,E,N
9087823,2020,20200818,340H,20200522,1108,10786,5402,5,5,3450,0,0,ELK GROVE BL,ELK GROVE FLORIN RD,0,W,N
9087826,2020,20200820,1900,20200512,1820,606987,1514,2,5,1954,0,0,UNDERWOOD ST,PICO VISTA RD,0,W,N
9087830,2020,20200810,1900,20200411,1955,523026,1513,6,5,1954,0,0,WASHINGTON BL,BOLLANBACHER DR,0,E,N
9087833,2020,20200731,1900,20200413,1705,531575,1517,1,5,1954,0,0,WASHINGTON BL,BONNIE VALE AV,0,N,N
9087834,2020,20200731,1900,20200423,0745,455303,1516,4,5,1954,0,0,SLAUSON AV,MANZANAR AV,0,E,N
9087836,2020,20200908,1013,20200508,1806,M159,SANGE,5,3,1013,0,0,ANNADALE AV,J ST,0,W,N
90878365,2018,20181207,9680,20181129,0750,015733,Baron,4,9,3700,2,4,WILDCAT CANYON RD,SAN VICENTE RD,0,S,N
