CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
90255518,2016,20160829,9320,20160818,1740,018371,BAY,4,9,0700,1,1,INTERSTATE 80 EASTBOUND (I-80 E/B),POMONA ST,1320,W,N
90255789,2016,20160829,9135,20160821,1330,012142,9135,7,9,1800,1,3,STATE ROUTE 139,HAYDEN HILL RD,5280,N,N
90256870,2016,20160830,9535,20160816,1730,014473,9535,2,9,1900,1,3,SR-60 (POMONA FREEWAY) E/B,GERHART AVE U/C,50,E,N
90256877,2016,20160830,9535,20160815,1740,014473,9535,1,5,1947,1,3,SR-60 (POMONA FREEWAY) E/B,MARKLAND DR. U/C,120,E,N
90256882,2016,20160830,9535,20160815,1630,014473,9535,1,5,1947,1,3,SR-60 (POMONA FREEWAY) E/B,PARAMOUNT BLVD O/C,600,W,N
90257052,2016,20160830,9535,20160810,1445,013989,9535,3,5,1959,1,3,SR-60 (POMONA FREEWAY) W/B,SAN GABRIEL BLVD,2000,E,N
90257152,2016,20160830,9535,20160811,2022,013989,9535,4,9,1900,1,3,SR-60 (POMONA FREEWAY) E/B,SAN GABRIEL BLVD,1000,W,N
90257823,2016,20160831,9535,20160812,1710,013989,9535,5,5,1948,1,3,SR-60 (POMONA FREEWAY) E/B,WOODS AVE,200,W,N
90258275,2016,20160831,9245,20160826,2315,013839,9245,5,2,0901,1,2,US50 W/B TO EL DORADO ROAD,EL DORADO ROAD,15,E,N
90258359,2016,20160921,9535,20160817,1545,014473,9535,3,5,1947,1,3,SR-60 (POMONA FREEWAY) E/B,MARKLAND DR. U/C,250,W,N
90258519,2016,20160901,9765,20160831,1700,020906,9765,3,9,5600,1,3,SR-126 E/B,WELLS ROAD,500,E,N
90258824,2016,20160901,9670,20160825,0715,015927,670,4,6,3009,1,3,SR-22 W/B,BEACH BLVD.,2112,W,N
90258886,2016,20160901,9535,20160818,1400,014473,9535,4,9,1900,1,3,SR-60 TO I-710 S/B,3RD ST. OFF RAMP O/C.,50,S,N
90258889,2016,20160901,9670,20160824,0910,015927,670,3,7,3001,1,3,SR-91 E/B,BROOKHURST ST,1056,E,N
90258898,2016,20160901,9220,20160810,1050,012546,9220,3,5,3105,1,3,STATE ROUTE 65 NORTHBOUND,STANFORD RANCH RD,2640,S,N
90258926,2016,20160901,9840,20160824,1255,014916,9840,3,9,3300,3,5,TRIPLE CROWN RD,SULTANAS RD,1056,E,N
90258951,2016,20160901,9266,20160819,1815,018751,9266,5,9,3900,2,4,BYRON ROAD,GRANT LINE ROAD,1500,N,N
90259330,2016,20160901,9535,20160822,1505,014473,9535,1,9,1900,1,3,SR-60 (POMONA FREEWAY) E/B,ROWAN AVE. O/C,220,E,N
90259484,2016,20160902,9535,20160815,1350,013989,9535,1,3,1968,1,3,SR-60 (POMONA FREEWAY) E/B,SAN GABRIEL RIVER,100,W,N
90259530,2016,20160902,9535,20160826,1555,014473,9535,5,9,1900,1,1,I-605 N/B (SAN GABRIEL RIVER FWY),VALLEY BLVD. U/C,1600,S,N
90259681,2016,20160902,9765,20160831,1110,013206,9765,3,9,5600,3,5,CUMMINGS ROAD,SANTA PAULA STREET,1020,N,N
90259778,2016,20160902,9840,20160831,1530,014916,9840,3,9,3300,3,5,BARTON ST,VAN BUREN BLVD,20,S,N
90259813,2016,20160902,9840,20160831,1720,014916,9840,3,9,3300,3,5,BARTON ST.,LURIN AVE,30,S,N
90259825,2016,20160902,9670,20160831,1450,015927,670,3,7,3001,1,3,SR-91 E/B,BROOKHURST ST.,2640,W,N
90259943,2016,20160902,9670,20160830,0841,015927,670,2,6,3009,1,3,SR-22 W/B,KNOTT AVE.,1056,W,N
90259948,2016,20160902,9670,20160831,0937,015927,670,3,5,3003,1,3,SR-91 E/B,HOLDER ST. PEDESTRIAN OVERCROSSING,528,W,N
90260165,2016,20160902,9670,20160828,0451,018516,9670,7,9,3000,3,5,PERDIDO STREET (10400 BLOCK),HARRIET LN,114,S,N
90261343,2016,20160906,9840,20160831,0730,014916,9840,3,9,3300,2,4,CAJALCO RD,CLARK ST.,528,W,N
90261684,2016,20160906,9670,20160819,1620,021207,`,5,4,3020,1,1,I-405 N/B,VALLEY VIEW ST.,1056,N,N
90261771,2016,20160906,9590,20160811,1815,018529,9590,4,7,1942,1,1,I-110 N/B,23RD ST.,100,N,N
90261873,2016,20160906,9135,20160831,0605,012978,9135,3,9,4500,1,3,SR-299,OAK RUN ROAD,21120,W,N
90261914,2016,20160906,9135,20160831,1445,012978,9135,3,9,4500,3,5,DESCHUTES ROAD,SUNCREST RIDGE,50,S,N
90262189,2016,20160906,9670,20160901,0540,015927,670,4,9,3000,3,5,GILBERT STREET (10600 BLOCK),PACIFIC AVE.,130,N,N
90262220,2016,20160906,9535,20160830,1610,014473,9535,2,5,1947,1,3,SR-60 (POMONA FREEWAY) E/B,PARAMOUNT BLVD. O/C,820,E,N
90262228,2016,20160906,9360,20160829,0650,013440,9360,1,9,4900,1,3,SR-116,CHURCH ST,3,E,N
90262332,2016,20160906,9535,20160829,1830,014473,9535,1,5,1906,1,1,I-605 N/B (SAN GABRIEL RIVER FWY),I-10 FWY,1200,S,N
90262437,2016,20160907,9535,20160825,1550,014473,9535,4,3,1968,1,3,SR-60 (POMONA FREEWAY) E/B,PECK RD. U/C,200,E,N
90262438,2016,20160907,9535,20160825,1810,014473,9535,4,4,1962,1,1,I-10 (SAN BERNARDINO FREEWAY) E/B,DEL MAR AVE,200,W,N
90262550,2016,20160907,9735,20160901,1725,019503,9735,4,9,2700,1,2,US-101 S/B,MAJOR FARMS,2640,S,N
